Date,AAPL
17/06/1993,1.4732
18/06/1993,1.4643
21/06/1993,1.4152
22/06/1993,1.4777
23/06/1993,1.4464
24/06/1993,1.4911
25/06/1993,1.4286
28/06/1993,1.433
29/06/1993,1.3929
30/06/1993,1.4107
01/07/1993,1.3571
02/07/1993,1.375
05/07/1993,1.375
06/07/1993,1.3482
07/07/1993,1.3036
08/07/1993,1.3036
09/07/1993,1.3125
12/07/1993,1.3571
13/07/1993,1.3304
14/07/1993,1.3304
15/07/1993,1.2768
16/07/1993,0.9821
19/07/1993,0.9152
20/07/1993,0.9598
21/07/1993,0.9375
22/07/1993,0.9464
23/07/1993,0.9375
26/07/1993,0.9598
27/07/1993,0.9464
28/07/1993,0.9598
29/07/1993,0.9732
30/07/1993,0.9911
02/08/1993,1.0179
03/08/1993,1.0357
04/08/1993,1.0804
05/08/1993,1.0536
06/08/1993,1.0446
09/08/1993,1.0625
10/08/1993,1.0179
11/08/1993,0.9821
12/08/1993,0.9464
13/08/1993,0.9777
16/08/1993,0.9821
17/08/1993,1.0134
18/08/1993,1.0179
19/08/1993,0.9821
20/08/1993,1
23/08/1993,1.0134
24/08/1993,1
25/08/1993,0.9732
26/08/1993,0.9598
27/08/1993,0.9464
30/08/1993,0.9286
31/08/1993,0.9464
01/09/1993,0.933
02/09/1993,0.9196
03/09/1993,0.9196
06/09/1993,0.9196
07/09/1993,0.9375
08/09/1993,0.9554
09/09/1993,0.9286
10/09/1993,0.9375
13/09/1993,0.9018
14/09/1993,0.8661
15/09/1993,0.875
16/09/1993,0.8839
17/09/1993,0.9018
20/09/1993,0.8884
21/09/1993,0.875
22/09/1993,0.9107
23/09/1993,0.8839
24/09/1993,0.8929
27/09/1993,0.8839
28/09/1993,0.8839
29/09/1993,0.8527
30/09/1993,0.8348
01/10/1993,0.8125
04/10/1993,0.8125
05/10/1993,0.8393
06/10/1993,0.8438
07/10/1993,0.8214
08/10/1993,0.808
11/10/1993,0.8482
12/10/1993,0.8571
13/10/1993,0.8571
14/10/1993,0.8482
15/10/1993,1.0089
18/10/1993,1.0134
19/10/1993,0.9911
20/10/1993,0.9911
21/10/1993,1.0804
22/10/1993,1.0804
25/10/1993,1.0714
26/10/1993,1.0625
27/10/1993,1.1339
28/10/1993,1.1071
29/10/1993,1.0982
01/11/1993,1.125
02/11/1993,1.1696
03/11/1993,1.1295
04/11/1993,1.1518
05/11/1993,1.1384
08/11/1993,1.0982
09/11/1993,1.0759
10/11/1993,1.0982
11/11/1993,1.1205
12/11/1993,1.1339
15/11/1993,1.1429
16/11/1993,1.2143
17/11/1993,1.1964
18/11/1993,1.1964
19/11/1993,1.1786
22/11/1993,1.1607
23/11/1993,1.1786
24/11/1993,1.1786
25/11/1993,1.1786
26/11/1993,1.1652
29/11/1993,1.1339
30/11/1993,1.125
01/12/1993,1.125
02/12/1993,1.1339
03/12/1993,1.125
06/12/1993,1.1518
07/12/1993,1.1518
08/12/1993,1.1384
09/12/1993,1.0714
10/12/1993,1.0089
13/12/1993,1.0536
14/12/1993,1.0402
15/12/1993,1.0625
16/12/1993,1.0491
17/12/1993,1.0536
20/12/1993,1.0179
21/12/1993,0.9821
22/12/1993,1
23/12/1993,0.9732
24/12/1993,0.9732
27/12/1993,1.0179
28/12/1993,1.0402
29/12/1993,1.0179
30/12/1993,1.0625
31/12/1993,1.0446
03/01/1994,1.067
04/01/1994,1.125
05/01/1994,1.2054
06/01/1994,1.1696
07/01/1994,1.183
10/01/1994,1.2009
11/01/1994,1.1384
12/01/1994,1.0893
13/01/1994,1.0938
14/01/1994,1.1071
17/01/1994,1.0848
18/01/1994,1.0491
19/01/1994,1.0446
20/01/1994,1.067
21/01/1994,1.192
24/01/1994,1.25
25/01/1994,1.2098
26/01/1994,1.1964
27/01/1994,1.2188
28/01/1994,1.2143
31/01/1994,1.1696
01/02/1994,1.1875
02/02/1994,1.1786
03/02/1994,1.1964
04/02/1994,1.1964
07/02/1994,1.3036
08/02/1994,1.2768
09/02/1994,1.2946
10/02/1994,1.3036
11/02/1994,1.3214
14/02/1994,1.3214
15/02/1994,1.3259
16/02/1994,1.3125
17/02/1994,1.3214
18/02/1994,1.2946
21/02/1994,1.2946
22/02/1994,1.3304
23/02/1994,1.3304
24/02/1994,1.308
25/02/1994,1.2857
28/02/1994,1.3036
01/03/1994,1.2946
02/03/1994,1.2723
03/03/1994,1.2768
04/03/1994,1.3125
07/03/1994,1.3527
08/03/1994,1.3214
09/03/1994,1.3393
10/03/1994,1.3304
11/03/1994,1.3304
14/03/1994,1.3616
15/03/1994,1.3438
16/03/1994,1.3125
17/03/1994,1.3036
18/03/1994,1.2991
21/03/1994,1.2679
22/03/1994,1.25
23/03/1994,1.2545
24/03/1994,1.2321
25/03/1994,1.1696
28/03/1994,1.1875
29/03/1994,1.1696
30/03/1994,1.1607
31/03/1994,1.1875
01/04/1994,1.1875
04/04/1994,1.1875
05/04/1994,1.1964
06/04/1994,1.1964
07/04/1994,1.1853
08/04/1994,1.1964
11/04/1994,1.1964
12/04/1994,1.1429
13/04/1994,1.1339
14/04/1994,1.125
15/04/1994,1.0804
18/04/1994,1.058
19/04/1994,1.0357
20/04/1994,1.0089
21/04/1994,1.058
22/04/1994,1.0625
25/04/1994,1.1071
26/04/1994,1.1161
27/04/1994,1.1161
28/04/1994,1.0804
29/04/1994,1.0714
02/05/1994,1.1071
03/05/1994,1.0804
04/05/1994,1.1786
05/05/1994,1.1741
06/05/1994,1.154
09/05/1994,1.1161
10/05/1994,1.1071
11/05/1994,1.0804
12/05/1994,1.0603
13/05/1994,1.0714
16/05/1994,1.0536
17/05/1994,1.0491
18/05/1994,1.0938
19/05/1994,1.1473
20/05/1994,1.1094
23/05/1994,1.0893
24/05/1994,1.0982
25/05/1994,1.1161
26/05/1994,1.0893
27/05/1994,1.0692
30/05/1994,1.0692
31/05/1994,1.0446
01/06/1994,1.0089
02/06/1994,0.9777
03/06/1994,0.9866
06/06/1994,0.9777
07/06/1994,0.9821
08/06/1994,0.933
09/06/1994,0.9643
10/06/1994,0.9464
13/06/1994,0.9643
14/06/1994,0.9665
15/06/1994,0.9933
16/06/1994,0.942
17/06/1994,0.9464
20/06/1994,0.9688
21/06/1994,0.9286
22/06/1994,0.9375
23/06/1994,0.8973
24/06/1994,0.9146
27/06/1994,0.9375
28/06/1994,0.9554
29/06/1994,0.933
30/06/1994,0.9464
01/07/1994,0.9196
04/07/1994,0.9196
05/07/1994,0.9464
06/07/1994,0.933
07/07/1994,0.9576
08/07/1994,0.9665
11/07/1994,0.9643
12/07/1994,1.0134
13/07/1994,1.0603
14/07/1994,1.0223
15/07/1994,1.0089
18/07/1994,1.0134
19/07/1994,0.9888
20/07/1994,0.9509
21/07/1994,1
22/07/1994,1.1071
25/07/1994,1.1317
26/07/1994,1.1205
27/07/1994,1.1094
28/07/1994,1.1384
29/07/1994,1.2031
01/08/1994,1.192
02/08/1994,1.1629
03/08/1994,1.183
04/08/1994,1.1875
05/08/1994,1.1875
08/08/1994,1.2054
09/08/1994,1.2009
10/08/1994,1.2366
11/08/1994,1.2254
